action,frequency
distributorCfmDeliver,2032499
assignCodPicking,1444438
privateNotePackage,1430543
putPackages2Bag,838847
PickupBill,812609
confirmTmpPickedPackageStatus,811439
updateDeliverWorkshiftByCod,724587
assignBagWithIdentifyBag,723186
verifySessionPackage,689592
verifySessionBags,686533
smartScaleScanningPackage,682191
TransferToBothBill,623364
cfmTransit,612373
updatePickedByCod,541249
PickupCrossProvinceBill,499609
confirmTmpDeliveredPackageStatus,340580
ReturnBill,311508
RefundBill,304210
confirmTmpReturnedPackageStatus,283508
updateReturnedByCod,268049
updateDelayDeliveringByCod,238530
changePackageStatus,227671
distributorCfmReturning,225845
printfPackage,200957
updateDelayPickingByCod,196478
importStationByDistributer,148782
putInBox,133658
changeCodForPackagesInCart,121545
cfmImpPkgFrPONew,116513
saveIsfrageImages,99357
editPackage,95427
approvedDeliveryDate,91084
cfmImportV4JobQ,83520
TransferToBothAcceptBill,79015
changeCurStationBagSurplus,77585
takeReturningPackages,77071
updateDeliverCod,72915
takeDeliveringPackages,70258
updateTmpPickingStatus,67047
ScanPackageToBag,66768
delayPickPackageReason,64957
scanBox,62809
autoReassignDateDeliver,58887
confirmExportBox,56289
changeAttributeForSurplus,50070
updateDeliveredCompletelyByCod,44499
Refund_payment_qrBill,44172
updateNotDeliveredByCod,41073
feedbackReDelivery,40798
updateDeliverWorkShiftPackage,39590
TakeAPhotoReturnRequest,37767
NVBCTakeAPhotoDelivery,32746
changePickCartByInstantDistribution,31828
updateTmpReturningStatus,29892
scanPackageCreateBagB2C,28710
confirmTmpDelayReturningPackageStatus,27934
putPackages2TmpBag,27924
confirmTmpPickedPackageStatusFromPO,26472
updateDelayReturningByCod,23289
updateTfrSortingByVerifySessionBags,22496
cfmDonePrepaymnet,22262
cancelPickCodByInstantDistribution,22215
confirmIssueHandovers,20399
checkPackageSealScanned,20112
saveRealImportStation,18618
changeCart,18518
saveSealForSpecialPackage,15658
changeCod,15637
PrepaymentBill,15113
ArrivePickingPoint,14807
NVBCConfirmImageWorkshift,14729
ImportPkgCheckIn,13267
PkBusCheckinPackage,12418
confirmPackageHandover,12129
changeAlias,11879
ArriveDeliveringPoint,11753
delayReturnPackageReason,11238
changeTrfSorting,10073
takeOutPackages2Bag,9908
changeDeliverCartCodTakeover,9360
changeCustomerFirstAddress,9258
updateTmpDeliveringStatus,8549
changeDelieverCartId,8405
updateReinforcedPackages,8202
csFeedbackUrgeReturnPackage,8196
confirmImportPackageApart,8128
changeTransferStationByChangeCart,7990
confirmImportBox,7544
importDestinationBox,7392
RescanCheckinPackage,7242
Prepayment_qrBill,7149
